Hearing ID,Date,Title,PDF link,Raw Text link
tq_27,"u'May 21, 2008'","House Hearing, 110th Congress
									 - THE NATIONAL MATHEMATICS ADVISORY PANEL REPORT: FOUNDATIONS FOR SUCCESS",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg42335/pdf/CHRG-110hhrg42335.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg42335/html/CHRG-110hhrg42335.htm
tq_28,"u'June 16, 2009'","House Hearing, 111th Congress
									 - THE FUTURE OF LEARNING: HOW TECHNOLOGY IS TRANSFORMING PUBLIC SCHOOLS",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg50208/pdf/CHRG-111hhrg50208.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg50208/html/CHRG-111hhrg50208.htm
tq_29,"u'January 23, 2004'","House Hearing, 108th Congress
									 - FUELING THE HIGH TECH WORKFORCE WITH MATH AND SCIENCE EDUCATION",http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg91364/pdf/CHRG-108hhrg91364.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-108hhrg91364/html/CHRG-108hhrg91364.htm
tq_30,"u'April 12, 2007'","House Hearing, 110th Congress
									 - LOCAL PERSPECTIVES ON THE NO CHILD LEFT BEHIND ACT",http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg34417/pdf/CHRG-110hhrg34417.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-110hhrg34417/html/CHRG-110hhrg34417.htm
tq_31,"u'April 14, 2010'","House Hearing, 111th Congress
									 - HOW DATA CAN BE USED TO INFORM EDUCATIONAL OUTCOMES",http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg55849/pdf/CHRG-111hhrg55849.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-111hhrg55849/html/CHRG-111hhrg55849.htm
tq_32,"u'November 3, 2011'","House Hearing, 112th Congress
									 - STEM IN ACTION: TRANSFERRING KNOWLEDGE FROM THE WORKPLACE TO THE CLASSROOM",http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg70974/pdf/CHRG-112hhrg70974.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112hhrg70974/html/CHRG-112hhrg70974.htm
tq_33,"u'November 8, 2011'",S. Hrg. 112-875 - BEYOND NCLB: VIEWS ON THE ELEMENTARY AND SECONDARY EDUCATION REAUTHORIZATION ACT,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg87633/pdf/CHRG-112shrg87633.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg87633/html/CHRG-112shrg87633.htm
tq_34,"u'June 18, 2014'",S. Hrg. 113-510 - S. 1948 AND S. 2299,http://www.gpo.gov:80/fdsys/pkg/CHRG-113shrg91818/pdf/CHRG-113shrg91818.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-113shrg91818/html/CHRG-113shrg91818.htm
tq_35,"u'April 24, 2012'",S. Hrg. 112-815 - BEST--BUILDING EDUCATIONAL SUCCESS TOGETHER,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg76457/pdf/CHRG-112shrg76457.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-112shrg76457/html/CHRG-112shrg76457.htm
tq_36,"u'May 18, 2006'","House Hearing, 109th Congress
									 - NO CHILD LEFT BEHIND: HOW INNOVATIVE EDUCATORS ARE INTEGRATING SUBJECT MATTERS TO IMPROVE STUDENT ACHIEVEMENT",http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg27985/pdf/CHRG-109hhrg27985.pdf,http://www.gpo.gov:80/fdsys/pkg/CHRG-109hhrg27985/html/CHRG-109hhrg27985.htm
